2,Baked Macaroni,"Noodles, Cheese, more cheese",Image url,2022-11-28 00:00:00,"Cook Macaroni, add cheese, bake",25,35,0
3,Banana Cake,Bananas and cake,Image url,2022-11-29 00:00:00,Bake in three layer pans at 350 degrees.,20,30,
4,Blueberry Coffee Cake,"Blueberry, coffee and cake",Image url,2022-11-30 00:00:00,"Mix butter, 1 cup sugar, flour, 2 eggs, 2 tsp vanilla, baking powder, and milk to make cake batter. Blend easily. Add 3 cups of blueberries. Put 2 1/2 cups of batter in pan. Mix cream cheese, 1/2 cup sugar, 1 egg, lemon juice and 1 tsp vanilla to make filling. Put filling on top of batter. Top with remaining batter. Make streusel topping from flour, butter, brown sugar, ad cinnamon. Sprinkle on top of cake. Bake at 375 degrees for 1 hour and 5 minutes. Check after 50 minutes.",35,40,
5,Chocolate Cake,Chocolate and cake,Image url,2022-12-1 00:00:00,"Mix all ingredients together. Pour in 1 cup boiling water. Mix well. Bake about 35 minutes at 375 degrees.
",45,45,
6,Crazy Cake,Crazy and cake,Image url,2022-12-2 00:00:00,"Mix first 5 ingredients well, about 4 minutes. Bake at 350 degrees in a 9x13 pan for 35 minutes. Poke holes in warm cake and pour on mixture of powdered sugar and lemon juice.",23,50,
7,Fresh Apple Cake,"Yup, apples and cake",Image url,2022-12-3 00:00:00,"Mix apples and sugar well. Add oil, nuts, and eggs. Add vanilla and dry ingredients. Bake at 350 degrees for 40-45 minutes. Serve with whipped cream or top with cream cheese frosting.",20,60,
8,Fresh Pear Cake,Pears and Cake,Image url,2022-12-4 00:00:00,"Butter and flour a 9 inch round pan. Peel and slice pears. Blend eggs, sugar, milk, and salt. Add flour, mix well. Fold 1/2 of pears into batter. Pour into pan, fan remaining pears on top. Dot with butter. Bake at 350 degrees about 55 minutes. Sprinkle with powdered sugar.",15,45,
9,Graham Cracker Cake,Crackers and Cake,Image url,2022-12-5 00:00:00,"Cream butter and sugar. Add crushed crackers, sour milk, and soda. Stir in nuts. Bake in 10 inch square baking pan. Bake in 350 degree oven for 30-35 minutes. Serve with whipped cream or thin powdered sugar icing.",25,40,
10,Hot Water Chocolate Cake,Water and Cake,Image url,2022-12-6 00:00:00,"Mix all ingredients together. Pour in 1 cup boiling water. Mix well. Bake about 35 minutes at 375 degrees.
",30,35,
11,Hungry Bear Cheese Cake,Bears and Cake,Image url,2022-12-7 00:00:00,"Combine first 5 ingredients to make crust. Save 1/4 cup for top. Press remaining crumbs evenly over bottom and about 2 inches up sides of a 9 inch spring form pan. Prepare filling: beat cream cheese and cottage cheese until smooth. Add eggs, one at a time, bating well. Blend in lemon juice and vanilla. Mix sugar, flour and salt. Add to cheese mixture. Pour into crust. Bake at 350 degrees until set, about 35 to 40 minutes. Combine topping ingredients (sour cream, sugar, vanilla, and salt). Spread evenly over hot cheese cake. Return to oven until cream sets, about 5 minutes. Cool in pan on rack. Sprinkle reserved crumbs around edge of cake.
",35,25,
12,Lemon Poppy Cake,"Lemons, poppies and cake",Image url,2022-12-8 00:00:00,"Mix all for 4 minutes. Bake at 350 degrees for 40 minutes.
",20,35,
13,Light Old Fashioned Cake,Cake,Image url,2022-12-9 00:00:00,"Sift dry ingredients into a 4 quart bowl. Add fruit and nuts. Mix until well coated. Set aside. Cream butter, gradually add sugar and cream until fluffy. Add eggs one at a time, beating well after each. Add brandy. Combine with fruit mixture. Mix well. Turn into a 10 inch tube pan or four 1# coffee cans lined with foil, filling pans 2/3 full. Bake in slow oven, 275 degrees for 2 3/4 to 3 hours. About 1/2 hour before done brush lightly with honey or light corn syrup. Cool completely then wrap tightly in foil to store for several weeks. Brush with brandy about once a week.
",15,45,
14,My Best Gingerbread,Gingerbread cake,Image url,2022-12-10 00:00:00,"Bake in greased pan for 35 minutes at 325-350 degrees.
",20,45,
15,Oatmeal Cake,Oatmeal and cake,Image url,2022-12-11 00:00:00,"Pour the water over the oatmeal. Let stand for 20 minutes. Add remaining cake ingredients. Mix well and pour into a greased 9""x12"" pan. Let stand while mixing topping. To prepare topping: Mix all ingredients together over low heat, until butter melts. Spoon over unbaked cake. Bake 45 minutes at 350 degrees.
",30,45,